Organization,Description,Year
Intel Media And Audio For Linux,"Open Source Media libraries, Applications,  User space driver and Specification.",2018
InterMine,"Integrating biological data sources, making it easy to query and analyse data",2018
Internet Archive,Universal Access to All Knowledge,2018
Internet Systems Consortium,We support critical internet infrastructure with quality open source,2018
JBoss Community,Community of Java projects around JBoss Middleware,2018
JdeRobot - Universidad Rey Juan Carlos,A software framework for developing applications in robotics and computer vision,2018
Jenkins project,Jenkins is an open-source automation server,2018
JGraphT,Java library that provides graph data-structures and algorithms.,2018
Jitsi,The most innovative Open Source video conferencing community. Period.,2018
Joomla!,"Joomla, the flexible platform empowering website creators.",2018
JSK Robotics Laboratory / The University of Tokyo,JSK is focusing on the fundamental functions & systems for intelligent robots .,2018
KDE Community,Experience Freedom!,2018
Kiwix,Internet content for people without internet access,2018
